,Tag2,Tag5,Tag6,Tag8,Tag9,Tag10,Tag11,Tag12,Tag15,Tag17,Tag18,Tag19,Tag23,Tag51,Tag52,Tag53,Tag55
Tag2,0,2,1,0,1,0,0,0,1,0,1,0,2,5,0,0,1
Tag5,2,0,1,2,0,0,0,5,0,0,1,3,0,5,0,1,0
Tag6,1,1,0,0,0,0,0,1,0,1,0,2,1,1,2,1,1
Tag8,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Tag9,1,0,0,0,0,0,2,1,1,2,0,1,0,1,1,1,0
Tag10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tag11,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,1,0
Tag12,0,5,1,0,1,0,1,0,1,0,2,0,0,1,0,1,2
Tag15,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Tag17,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0
Tag18,1,1,0,0,0,0,2,2,0,0,0,1,0,0,0,3,0
Tag19,0,3,2,1,1,0,0,0,0,1,1,0,1,1,2,1,1
Tag23,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tag51,5,5,1,1,1,0,0,1,0,1,0,1,0,0,8,0,2
Tag52,0,0,2,0,1,0,0,0,0,0,0,2,0,8,0,0,0
Tag53,0,1,1,0,1,0,1,1,0,0,3,1,0,0,0,0,0
Tag55,1,0,1,0,0,0,0,2,0,0,0,1,0,2,0,0,0
