Tag,Mass,MeanWing,MeanTS,Sex,StressCort,Color,MicrobialDiv
Tag2,16.5,118.67,89.5,M,85.78,2.580724373,36.481182
Tag5,16.5,116.67,97,M,111.55,4.585903574,28.74805
Tag6,17,115,85.75,M,14.1,-1.027763733,39.781455
Tag8,17,117.83,88.5,M,28.26,-0.014606764,40.485937
Tag9,17.5,118,94.5,M,27.24,0.238277971,37.57168
Tag10,18.5,118,76.35,F,30.74,0.14187216,34.109413
Tag11,20.5,118.83,82.5,F,26.78,-1.737464762,36.117672
Tag12,18,119.83,90.05,M,37.78,0.596452222,37.49883
Tag15,16.6,116.5,92.5,M,73.55,3.240081969,34.292013
Tag17,16,121.17,83.5,M,26.82,-1.671400136,36.717666
Tag18,17,115,92.25,M,38.19,3.246824282,40.92632
Tag19,17,114.17,81.5,F,49.36,-3.882733733,36.426678
Tag23,17.5,121.67,84.85,F,15.75,-2.642731593,34.079158
Tag51,16.25,120,NA,M,56.11,0.5569764,NA
Tag52,18.25,118.17,80.6,F,NA,0.10152707,39.064318
Tag53,19.75,115,75.5,F,47.38,-2.006672356,39.23853
Tag55,22.5,118.33,87,F,32.15,-2.305266946,36.548481
